subject,lr,ppg_quality,resp_qualityl
103818,LR,good,good
105014,RL,good,good
118528,LR,good,good
120212,RL,good,good
123420,LR,good,good
124826,RL,good,good
128127,LR,bad,good
129533,RL,good,good
130013,LR,bad,good
137027,RL,good,good
137128,LR,good,good
138231,RL,bad,bad
144832,LR,good,good
146331,RL,good,good
150726,LR,good,good
151627,RL,bad,good
153833,LR,good,good
155635,RL,good,good
158035,LR,good,good
161731,RL,bad,bad
163331,LR,bad,good
178950,RL,good,good
180937,LR,good,good
186141,RL,good,good
187143,LR,good,good
192843,RL,good,good
194847,LR,bad,good
199251,RL,good,good
203418,RL,good,good
212419,LR,good,good
214726,RL,good,good
249947,LR,good,good
308331,RL,good,good
386250,LR,good,good
433839,RL,good,good
540436,LR,good,good
592455,RL,good,good
601127,LR,good,good
620434,RL,good,good
771354,LR,good,good
833148,RL,bad,good
837560,LR,good,good
857263,RL,bad,good
859671,LR,good,good
877269,RL,bad,good
889579,LR,good,good
930449,RL,good,good
987983,LR,good,good