subject,lr,old,rest_scan,relational_scan,wm_scan,rest_ppg_quality,rest_resp_quality,relational_ppg_quality,relational_resp_quality,wm_ppg_quality,wm_resp_quality
101006,LR,0,1,1,1,good,bad,good,bad,good,bad
102008,LR,0,1,1,1,good,good,good,bad,good,good
102311,RL,0,1,1,1,good,good,good,good,bad,bad
103515,LR,0,1,1,1,good,bad,good,good,good,bad
103818,LR,1,1,1,1,good,good,good,good,good,good
105014,RL,1,1,1,1,good,good,good,good,good,good
107321,LR,0,1,1,1,good,bad,good,bad,good,bad
107422,LR,0,1,1,1,bad,bad,bad,bad,good,good
108121,RL,0,1,1,1,good,bad,good,good,good,bad
108323,RL,0,1,1,1,good,good,good,bad,bad,bad
111413,LR,0,1,1,1,good,bad,good,good,good,good
111716,RL,0,1,1,1,good,bad,good,bad,bad,bad
114419,LR,0,1,1,1,good,good,good,good,good,good
117122,LR,0,1,1,1,good,good,good,good,bad,good
118528,LR,1,1,1,1,good,good,good,good,good,bad
118932,LR,0,1,1,1,good,good,good,good,good,good
119833,RL,0,1,1,1,good,bad,good,good,good,bad
120212,RL,1,1,1,1,good,good,good,good,good,good
120515,RL,0,1,1,1,good,bad,good,good,good,good
121618,LR,0,1,1,1,good,good,good,good,good,good
122620,LR,0,1,1,1,good,good,good,bad,good,good
123420,LR,1,1,1,1,good,good,good,good,good,good
124422,RL,0,1,1,1,bad,bad,good,bad,good,bad
124826,RL,1,1,1,1,good,good,good,good,good,good
127630,RL,0,1,1,1,good,good,good,good,good,good
128127,RL,0,1,1,1,good,good,good,good,good,good
129028,RL,0,1,1,1,good,bad,good,good,good,bad
129533,RL,1,1,0,0,bad,bad,,,,
130316,LR,0,1,1,1,bad,bad,bad,bad,good,bad
131217,LR,0,1,1,1,good,bad,good,bad,good,bad
131722,RL,0,1,1,1,good,bad,good,bad,good,bad
132118,RL,0,1,0,1,good,bad,,,good,bad
133827,RL,0,1,1,1,good,bad,good,bad,good,good
134324,RL,0,1,1,1,bad,good,bad,bad,good,bad
137027,RL,1,1,1,1,good,good,bad,bad,good,good
137128,LR,1,1,1,1,good,good,bad,bad,good,bad
138231,LR,0,1,1,1,good,good,good,good,good,good
139233,RL,0,1,1,1,good,good,good,good,good,bad
139637,RL,0,1,1,1,bad,bad,bad,bad,bad,good
141826,LR,0,1,1,1,good,good,good,good,good,good
142828,RL,0,1,1,1,good,bad,good,bad,good,good
144226,RL,0,1,1,1,good,good,good,good,good,good
144832,LR,1,1,1,1,good,good,bad,bad,bad,bad
146331,RL,1,1,1,1,good,good,good,good,good,good
147737,RL,0,1,1,1,,,,,,
148840,RL,0,1,1,1,,,,,,
148941,RL,0,1,1,1,,,,,,
150625,LR,0,1,1,1,,,,,,
150726,LR,1,1,1,1,good,good,good,good,good,good
151223,LR,0,1,1,1,,,,,,
151627,LR,0,1,1,1,,,,,,
152831,LR,0,1,1,1,,,,,,
153429,LR,0,1,1,1,,,,,,
153833,LR,1,1,1,1,good,good,good,good,good,good
155635,RL,1,1,1,1,good,good,good,good,bad,bad
156637,RL,0,1,1,1,,,,,,
158035,LR,1,1,1,1,good,good,bad,bad,good,good
158136,RL,0,1,1,1,,,,,,
158540,RL,0,1,1,1,,,,,,
159138,RL,0,1,1,1,,,,,,
159340,RL,0,1,1,1,,,,,,
159441,RL,0,1,1,1,,,,,,
160830,RL,0,1,1,1,,,,,,
161630,LR,0,1,1,1,,,,,,
163331,LR,0,1,1,1,,,,,,
163432,LR,0,1,1,1,,,,,,
166438,RL,0,1,1,1,,,,,,
167036,RL,0,1,1,1,,,,,,
167743,RL,0,1,1,1,,,,,,
168341,LR,0,1,1,1,,,,,,
169444,LR,0,1,1,1,,,,,,
172130,LR,0,1,1,1,,,,,,
172534,LR,0,1,1,1,,,,,,
173536,RL,0,1,1,1,,,,,,
175035,LR,0,1,1,1,,,,,,
176542,RL,0,1,1,1,,,,,,
178849,RL,0,1,1,1,,,,,,
178950,RL,1,1,1,1,good,good,good,good,bad,bad
180937,LR,1,1,1,1,good,good,bad,bad,good,good
181232,RL,0,1,1,1,,,,,,
186141,RL,1,1,1,1,good,good,good,good,good,good
187143,LR,1,1,1,1,good,good,bad,bad,good,good
189450,LR,0,1,1,1,,,,,,
192843,RL,1,1,1,1,good,good,good,good,good,bad
193239,RL,0,1,1,1,,,,,,
194140,RL,0,1,1,1,,,,,,
194645,LR,0,1,1,1,,,,,,
195041,RL,0,1,1,1,,,,,,
195647,LR,0,1,1,1,,,,,,
198855,RL,0,1,1,1,,,,,,
199251,RL,1,1,0,1,good,good,,,good,good
203418,RL,1,1,1,1,good,good,bad,bad,good,bad
210011,RL,0,1,1,1,,,,,,
211215,RL,0,1,1,1,,,,,,
211922,LR,0,1,1,1,,,,,,
212217,RL,0,1,1,1,,,,,,
212419,LR,1,1,1,1,good,good,bad,bad,good,good
214726,RL,1,1,1,1,good,good,good,good,good,good
249947,LR,1,1,1,1,good,good,good,good,good,bad
255639,LR,0,1,1,1,,,,,,
280739,LR,0,1,1,1,,,,,,
285345,RL,0,1,1,1,,,,,,
285446,LR,0,1,1,1,,,,,,
308331,RL,1,1,1,1,good,good,good,good,good,good
339847,LR,0,1,1,1,,,,,,
377451,LR,0,1,1,1,,,,,,
382242,RL,0,1,1,1,,,,,,
386250,LR,1,1,1,1,good,good,good,good,good,bad
412528,LR,0,1,1,1,,,,,,
433839,RL,1,1,1,1,good,good,good,good,good,good
475855,LR,0,1,1,1,,,,,,
485757,LR,0,1,1,1,,,,,,
500222,LR,0,1,1,1,,,,,,
540436,LR,1,1,1,1,good,good,good,good,good,bad
545345,RL,0,1,1,1,,,,,,
547046,LR,0,1,1,1,,,,,,
552544,RL,0,1,1,1,,,,,,
573249,LR,0,1,1,1,,,,,,
592455,RL,1,1,1,1,good,good,bad,bad,good,good
599469,LR,0,1,1,1,,,,,,
601127,LR,1,1,1,1,good,good,good,good,good,bad
622236,LR,0,1,1,1,,,,,,
654754,LR,0,1,1,1,,,,,,
679568,RL,0,1,1,1,,,,,,
695768,RL,0,1,1,1,,,,,,
704238,RL,0,1,1,1,,,,,,
732243,LR,0,1,1,1,,,,,,
771354,LR,1,1,1,1,good,good,bad,bad,good,good
789373,LR,0,1,1,1,,,,,,
802844,LR,0,1,1,1,,,,,,
814649,LR,0,1,1,1,,,,,,
826454,RL,0,1,1,1,,,,,,
833148,RL,0,1,1,1,,,,,,
837560,LR,1,1,1,1,good,good,good,good,good,good
849971,LR,0,1,1,1,,,,,,
861456,LR,0,1,1,1,,,,,,
877269,RL,0,1,1,1,,,,,,
889579,LR,1,1,1,1,good,good,good,good,good,good
894673,RL,0,1,1,1,,,,,,
896879,LR,0,1,1,1,,,,,,
912447,LR,0,1,1,1,,,,,,
965771,LR,0,1,1,1,,,,,,
978578,RL,0,1,1,1,,,,,,
987983,LR,1,1,1,1,good,good,bad,bad,good,good